method,label,unit,scheduled_profit,best_response_profit,loc
lmp,LMP,G1,24919.40081390465,24919.400813903187,0.0
lmp,LMP,G2,-147.84637124475012,-0.0,147.84637124475012
lmp,LMP,G3,-2586.513394533358,250.45739525823956,2836.970789791598
lmp,LMP,G4,0.0,-0.0,0.0
lmp,LMP,G5,-3339.400000098205,-39.0,3300.400000098205
lmp,LMP,G6,-607.6826734947572,-0.0,607.6826734947572
mirp,IRP,G1,41535.898249433754,44086.7676179331,2550.8693684993486
mirp,IRP,G2,474.011916513944,696.0325954561276,222.02067894218362
mirp,IRP,G3,-508.470961522431,-0.0,508.470961522431
mirp,IRP,G4,0.0,-0.0,0.0
mirp,IRP,G5,-271.52333841333166,-11.492310877528553,260.0310275358031
mirp,IRP,G6,-392.1401027646725,-0.0,392.1401027646725
level,LVM,G1,37232.324299577944,38241.3594530728,1009.0351534948568
level,LVM,G2,869.8913515694221,956.3219671802116,86.43061561078946
level,LVM,G3,-796.9471331408822,1.5963997396538048,798.5435328805361
level,LVM,G4,0.0,-0.0,0.0
level,LVM,G5,-807.6497436298196,-38.195322915755014,769.4544207140646
level,LVM,G6,-65.35728049709178,1.6328181456420907,66.99009864273387
lrp,LRP,G1,22545.912123212678,22856.570189067104,310.65806585442624
lrp,LRP,G2,-1332.7533356012354,-0.0,1332.7533356012354
lrp,LRP,G3,-1449.105755674318,5.397956488889577,1454.5037121632076
lrp,LRP,G4,0.0,-0.0,0.0
lrp,LRP,G5,-1902.1049992988555,292.2047733680233,2194.309772666879
lrp,LRP,G6,-1245.2733322848617,-0.0,1245.2733322848617
dwp,DWP,G1,36964.48065143949,37965.46181640841,1000.9811649689218
dwp,DWP,G2,864.3426207300545,950.2487689951976,85.90614826514309
dwp,DWP,G3,-790.7030297531965,-0.0,790.7030297531965
dwp,DWP,G4,0.0,-0.0,0.0
dwp,DWP,G5,-814.2023195821166,-39.0,775.2023195821166
dwp,DWP,G6,-66.8557115988906,-0.0,66.8557115988906
xiao,S-CHP,G1,36964.480651834165,37965.461816838884,1000.9811650047195
xiao,S-CHP,G2,864.3426207409611,950.2487690055935,85.9061482646324
xiao,S-CHP,G3,-790.7030297719757,-0.0,790.7030297719757
xiao,S-CHP,G4,0.0,-0.0,0.0
xiao,S-CHP,G5,-814.2023195417787,-39.0,775.2023195417787
xiao,S-CHP,G6,-66.85571159653955,2.0692141333711334e-09,66.85571159860876
chp,D-CHP,G1,36964.48070180789,37965.46187849188,1000.9811766839921
chp,D-CHP,G2,864.3426218749137,950.2487701210742,85.90614824616057
chp,D-CHP,G3,-790.7030272687516,9.552240953780711e-08,790.703027364274
chp,D-CHP,G4,0.0,-0.0,0.0
chp,D-CHP,G5,-814.2023117269564,-38.99999999371221,775.2023117332442
chp,D-CHP,G6,-66.85571160152449,1.3728401881962782e-07,66.85571173880851
