method,iteration,elapsed_s,objective,gap_to_exact,trace,upper_bound,rel_gap,rmp_obj,min_reduced_cost,columns
level,1,0.02986741065979004,1943.1731172173952,177897.76495035345,best_level_dual,1162312.848201565,0.9983281840855291,,,
level,2,0.09109091758728027,157285.09652194427,22555.84154562658,best_level_dual,490983.38119222515,0.6796529117950624,,,
level,3,0.15091896057128906,157285.09652194427,22555.84154562658,best_level_dual,322267.6569467881,0.5119426565728414,,,
level,4,0.21522092819213867,159578.35892232874,20262.57914524211,best_level_dual,280462.21950552484,0.4310165582955276,,,
level,5,0.2819206714630127,166194.8088096365,13646.129257934343,best_level_dual,255415.29547076562,0.3493153630313464,,,
level,6,0.35081005096435547,174673.67978120781,5167.258286363038,best_level_dual,238293.78296251944,0.26698180032383917,,,
level,7,0.4233553409576416,174673.67978120781,5167.258286363038,best_level_dual,220378.68111372573,0.2073930250491516,,,
level,8,0.4986741542816162,174673.67978120781,5167.258286363038,best_level_dual,213341.87854668518,0.1812499216229395,,,
level,9,0.5773968696594238,174673.67978120781,5167.258286363038,best_level_dual,210077.74503581238,0.16852839527846777,,,
level,10,0.6650407314300537,174673.67978120781,5167.258286363038,best_level_dual,202425.89389285046,0.1370981428212571,,,
level,11,0.7529284954071045,175893.7901813679,3947.1478862029617,best_level_dual,195392.87547830184,0.09979424914650636,,,
level,12,0.8450014591217041,176917.15265371016,2923.7854138606926,best_level_dual,195369.29671782115,0.09444751234766477,,,
level,13,0.9651544094085693,176917.15265371016,2923.7854138606926,best_level_dual,194933.67162234135,0.09242384252391171,,,
level,14,1.1385612487792969,177761.58674929338,2079.351318277477,best_level_dual,194148.59232377747,0.08440445216906767,,,
level,15,1.2587223052978516,177761.58674929338,2079.351318277477,best_level_dual,192351.24104475672,0.0758490260640876,,,
level,16,1.3993730545043945,178184.42790871247,1656.5101588583784,best_level_dual,190863.2027212576,0.06642859719304615,,,
level,17,1.5048363208770752,178184.42790871247,1656.5101588583784,best_level_dual,188769.35529352442,0.05607333546461,,,
level,18,1.6249971389770508,178184.42790871247,1656.5101588583784,best_level_dual,186867.36257226637,0.04646576343793574,,,
level,19,1.740772008895874,178184.42790871247,1656.5101588583784,best_level_dual,186557.81856789664,0.04488362226500155,,,
level,20,1.8609635829925537,178765.93694956132,1075.0011180095316,best_level_dual,186195.7494784364,0.03990323382615956,,,
level,21,1.9820168018341064,178765.93694956132,1075.0011180095316,best_level_dual,185771.1832325511,0.03770900395364603,,,
