method,label,unit,scheduled_profit,best_response_profit,loc
lmp,LMP,G1,24919.40081390465,24919.400813903187,0.0
lmp,LMP,G2,-147.84637124475012,-0.0,147.84637124475012
lmp,LMP,G3,-2586.513394533358,250.45739525823956,2836.970789791598
lmp,LMP,G4,0.0,-0.0,0.0
lmp,LMP,G5,-3339.400000098205,-39.0,3300.400000098205
lmp,LMP,G6,-607.6826734947572,-0.0,607.6826734947572
mirp,IRP,G1,41535.898249433754,44086.7676179331,2550.8693684993486
mirp,IRP,G2,474.011916513944,696.0325954561276,222.02067894218362
mirp,IRP,G3,-508.470961522431,-0.0,508.470961522431
mirp,IRP,G4,0.0,-0.0,0.0
mirp,IRP,G5,-271.52333841333166,-11.492310877528553,260.0310275358031
mirp,IRP,G6,-392.1401027646725,-0.0,392.1401027646725
level,LVM,G1,37232.32428865807,38241.35944190736,1009.0351532492932
level,LVM,G2,869.8913514908018,956.3219673262109,86.43061583540918
level,LVM,G3,-796.9471333038928,1.596399803726115,798.5435331076189
level,LVM,G4,0.0,-0.0,0.0
level,LVM,G5,-807.6497434236953,-38.19532213160278,769.4544212920925
level,LVM,G6,-65.357280185126,1.6328184077916603,66.99009859291766
dwp,DWP,G1,36964.48065143949,37965.46181640841,1000.9811649689218
dwp,DWP,G2,864.3426207300545,950.2487689951976,85.90614826514309
dwp,DWP,G3,-790.7030297531965,-0.0,790.7030297531965
dwp,DWP,G4,0.0,-0.0,0.0
dwp,DWP,G5,-814.2023195821166,-39.0,775.2023195821166
dwp,DWP,G6,-66.8557115988906,-0.0,66.8557115988906
dwp_incremental,DWP-inc,G1,36964.480651438615,37965.46181640819,1000.9811649695766
dwp_incremental,DWP-inc,G2,864.3426207302837,950.2487689955254,85.90614826524177
dwp_incremental,DWP-inc,G3,-790.7030297554229,7.693188308621757e-10,790.7030297561922
dwp_incremental,DWP-inc,G4,0.0,-0.0,0.0
dwp_incremental,DWP-inc,G5,-814.202319579832,-38.99999999561214,775.2023195842198
dwp_incremental,DWP-inc,G6,-66.85571159892788,-0.0,66.85571159892788
xiao,S-CHP,G1,36964.480651834165,37965.461816838884,1000.9811650047195
xiao,S-CHP,G2,864.3426207409611,950.2487690055935,85.9061482646324
xiao,S-CHP,G3,-790.7030297719757,-0.0,790.7030297719757
xiao,S-CHP,G4,0.0,-0.0,0.0
xiao,S-CHP,G5,-814.2023195417787,-39.0,775.2023195417787
xiao,S-CHP,G6,-66.85571159653955,2.0692141333711334e-09,66.85571159860876
chp,D-CHP,G1,36964.471914196096,37965.45101386141,1000.9790996653173
chp,D-CHP,G2,864.3426370377019,950.248781405658,85.90614436795602
chp,D-CHP,G3,-790.7030028978552,3.7997551771695726e-08,790.7030029358527
chp,D-CHP,G4,0.0,-0.0,0.0
chp,D-CHP,G5,-814.2046002555726,-38.999999441708724,775.2046008138639
chp,D-CHP,G6,-66.85569845714417,1.3685008525499143e-05,66.8557121421527
